Price,Close,High,Low,Open,Volume
Ticker,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
Date,,,,,
2018-06-28,15344.912109375,15994.814736267826,15344.912109375,15994.814736267826,3120272
2018-06-29,14983.85546875,15525.440662568393,14983.85546875,15344.911640538694,2017203
2018-07-02,14514.48046875,15128.277251130043,14442.269798455829,14983.85497440638,2852014
2018-07-03,14081.212890625,14676.956311291524,14081.212890625,14514.480662721502,3586966
2018-07-04,14442.2705078125,14442.2705078125,13900.685305261071,14099.26676462818,2716584
2018-07-05,14261.7412109375,14478.376036735703,13900.685040211192,14442.270232436002,1888331
2018-07-06,14731.1162109375,15056.066587957594,14045.107779149786,14081.213584626548,2424691
2018-07-09,14496.427734375,14929.695491689978,14370.057893813522,14803.3256511285,1773982
2018-07-10,14586.6923828125,14695.00979474115,14442.270103042973,14550.586578836283,661353
2018-07-11,14153.4248046875,14442.270304388812,13936.790913945355,14261.741281990897,2128687
2018-07-12,14009.001953125,14315.900831159634,13900.685472988971,13936.791278412773,2045613
2018-07-13,14658.904296875,14731.11590633537,14189.530707653314,14261.741380978323,2815933
2018-07-16,14767.2216796875,14983.855571472937,14676.956699986156,14839.432352859074,2029018
2018-07-17,15128.2783203125,15128.2783203125,14640.851346667783,14695.010523385232,3673067
2018-07-18,15489.3349609375,15489.3349609375,15128.277850617762,15164.383655263273,3175578
2018-07-19,15344.912109375,15489.335331411354,15236.595628983117,15236.595628983117,2185449
2018-07-20,15019.9599609375,15272.699633563132,14893.590124624683,15272.699633563132,2841765
2018-07-23,15164.3837890625,15417.123487675697,15110.225549684063,15236.595398990661,2951551
2018-07-24,15236.5947265625,15326.858766921445,14947.749235732681,15164.383119821214,3766258
2018-07-25,15308.8056640625,15814.285983928732,15236.594992197617,15272.700796197729,3703785
2018-07-26,15362.9658203125,15525.441480632697,15200.490159992301,15417.12406170743,1905324
2018-07-27,15633.7568359375,15850.390722029291,15362.964712356596,15489.334557254751,3429819
2018-07-30,15633.7568359375,15705.967507211208,15597.65103223298,15669.86263964202,3178604
2018-07-31,15453.2294921875,15705.96825792895,15453.2294921875,15633.757583203698,4490143
2018-08-01,15164.3837890625,15543.493336982294,15128.27798409842,15417.123487675697,6455475
2018-08-02,15417.123046875,15417.123046875,15019.961075896359,15164.383355488044,1929405
2018-08-03,15381.0166015625,15561.544677558011,15308.804996710174,15525.43981126715,1985503
2018-08-06,15254.6474609375,15417.123111241066,15254.6474609375,15308.805698993574,929322
2018-08-07,15146.3310546875,15272.700901491447,15074.119446189432,15272.700901491447,1714615
2018-08-08,15344.912109375,15381.017914884089,15128.278212455853,15146.331583278086,2028462
2018-08-09,15453.2294921875,15597.651777773382,15362.965446679402,15525.441103048131,3272854
2018-08-10,15561.544921875,15687.91476428293,15417.122646038215,15453.22844903124,2116739
2018-08-13,15687.9150390625,15778.179080058413,15561.545194441154,15561.545194441154,2850819
2018-08-14,15994.814453125,16012.866887492286,15742.074755170803,15796.233930543392,4331111
2018-08-15,15814.2861328125,16139.237435737428,15778.179392337119,15994.814218377305,4402184
2018-08-16,15525.44140625,15525.44140625,15326.85994057279,15489.335600114562,3660111
2018-08-17,15705.9677734375,15705.9677734375,15525.440624125513,15597.651296623239,2463962
2018-08-20,15778.1787109375,15994.813527622051,15579.598199846294,15705.967105375983,2536227
2018-08-21,15778.1787109375,15814.285449853569,15669.862238730535,15742.073844292052,2276943
2018-08-22,15904.55078125,15994.814827469712,15778.179993179938,15796.2343002405,3809447
2018-08-23,16030.9189453125,16067.025685469698,15922.602469382278,15922.602469382278,2667942
2018-08-24,16048.9716796875,16067.024111862698,15850.389308948816,16030.917375241801,1671950
2018-08-27,16030.9189453125,16067.025685469698,15958.70733726879,15994.814077425988,2413197
2018-08-28,15958.7080078125,16048.973925862892,15904.55070370718,15994.81474948681,2415293
2018-08-29,15958.7080078125,16030.919618890355,15868.44396203287,15940.655573110727,5290110
2018-08-30,15940.6552734375,15958.7077077999,15868.443663717171,15958.7077077999,1678401
2018-08-31,15958.7080078125,16211.447710449615,15922.603138408953,15940.655573110727,2727416
2018-09-04,15922.6025390625,16139.237364141663,15886.497671017985,15922.6025390625,1684322
2018-09-05,15633.7568359375,15958.70719700752,15525.440360959272,15904.54989565374,2531420
2018-09-06,15290.7529296875,15633.756656745996,15290.7529296875,15561.545050164632,4106118
2018-09-07,15525.44140625,15525.44140625,15290.754134437351,15344.912375572809,1350775
2018-09-10,15362.9658203125,15597.652157114138,15362.9658203125,15597.652157114138,975122
2018-09-11,15579.5986328125,15597.651066636912,15362.964746242877,15362.964746242877,1803478
2018-09-12,15543.494140625,15778.180480822422,15543.494140625,15705.968867160716,1267753
2018-09-13,15669.8623046875,15850.390383215852,15597.650698822032,15778.178777350386,1715571
2018-09-14,16085.0771484375,16139.236319268637,15742.073435138303,15742.073435138303,7672015
2018-09-17,15922.6025390625,16067.025755781942,15922.6025390625,16067.025755781942,1499562
2018-09-18,16175.341796875,16175.341796875,15778.178897720334,15778.178897720334,2123083
2018-09-19,16410.02734375,16482.238942659576,16175.340115361485,16247.551714271063,3589702
2018-09-20,16572.505859375,16680.822340467745,16265.606978629648,16265.606978629648,5738651
2018-09-21,16572.505859375,16626.663163785986,16319.766155311409,16626.663163785986,3861597
2018-09-24,16644.71875,16789.14011179879,16536.40038831226,16572.507132965144,2631596
2018-09-25,16572.505859375,16644.71747086042,16536.3991174969,16608.610728982323,1982027
2018-09-26,16626.662109375,16897.456103340115,16554.452374739667,16608.609675716165,2731824
2018-09-27,16680.82421875,16789.140712039323,16626.665035969847,16626.665035969847,2338482
2018-09-28,16716.9296875,16789.139429328647,16698.875379772,16789.139429328647,1486233
2018-10-01,16608.609375,16771.08501952902,16590.556941668026,16716.92771953309,1379953
2018-10-02,16355.87109375,16608.61079887721,16337.818658870367,16554.45349423831,2616913
2018-10-03,16428.080078125,16500.2916783652,16337.816045892374,16355.868477884802,990466
2018-10-04,16554.453125,16608.610428430948,16391.97747016567,16428.08233911964,1251239
2018-10-05,16464.189453125,16608.61080448158,16446.135145968492,16590.558369595856,1349926
2018-10-08,16247.5546875,16428.082781674544,16247.5546875,16428.082781674544,1358843
2018-10-09,16139.236328125,16301.711968436995,16139.236328125,16247.55279757614,1702217
2018-10-10,16355.87109375,16391.97783578005,16139.23813065284,16139.23813065284,1847045
2018-10-11,15417.123046875,16030.918905308843,15272.700767283315,15886.497561852497,5782380
2018-10-12,15814.2861328125,15886.497741492562,15056.066113942552,15344.911612527449,3658415
2018-10-15,15525.44140625,15886.498531468986,15525.44140625,15814.286919198108,1377245
2018-10-16,15615.705078125,15705.968187090606,15417.123617221614,15705.968187090606,1803398
2018-10-17,15742.0732421875,15886.496447786618,15705.966504652444,15814.284844987058,1317535
2018-10-18,15742.0732421875,15886.496447786618,15669.86163938794,15778.178107452004,1886710
2018-10-19,15525.44140625,15705.968564656398,15489.335600114562,15525.44140625,2456978
2018-10-22,15579.5986328125,15778.179149422376,15561.545262852753,15669.862674205233,1139944
2018-10-23,15236.5947265625,15579.59845438062,15019.960842473967,15579.59845438062,3055491
2018-10-24,15092.1708984375,15362.963944621366,15092.1708984375,15182.43493512036,1493109
2018-10-25,14821.3798828125,14911.643926160536,14442.270339069539,14442.270339069539,2011761
2018-10-26,14731.1162109375,15074.119958763666,14731.1162109375,14983.85591313945,2441978
2018-10-29,14803.3271484375,14965.802807898333,14622.799053985638,14622.799053985638,1280709
2018-10-30,14803.3271484375,15092.172661241715,14749.16890732902,14839.43295455495,1201722
2018-10-31,15146.3310546875,15164.383488744345,14911.64379513645,15074.119446189432,863239
2018-11-01,15128.2783203125,15308.80641300963,15128.2783203125,15182.43656089456,1645454
2018-11-02,15489.3349609375,15525.440765583011,15182.436089518347,15290.753503454876,1968380
2018-11-05,15362.9658203125,15525.441480632697,15236.595966300723,15381.018255399009,705214
2018-11-06,15218.5419921875,15435.175885320554,15200.489557816149,15417.1234509492,1326642
2018-11-07,15110.224609375,15344.910922833948,15038.013003940567,15218.541081391342,1315704
2018-11-08,15218.5419921875,15308.806036314993,15146.331318566725,15254.64779706557,934897
2018-11-09,14893.5908203125,15200.488741083203,14875.537450775802,15092.171332268965,1686230
2018-11-12,15146.3310546875,15146.3310546875,14857.485556830572,14875.537990887415,725101
2018-11-13,15038.013671875,15074.119476195907,14875.538020498594,14875.538020498594,1162961
2018-11-14,15254.6474609375,15254.6474609375,15019.961138604283,15128.277614716431,2089871
2018-11-15,15236.5947265625,15308.80539716846,15056.065709709284,15164.383119821214,1324278
2018-11-16,15435.17578125,15489.334956269622,15254.647694212214,15344.911737731107,1698950
2018-11-19,15579.5986328125,15597.651066636912,15453.22878763561,15525.440395203928,1051423
2018-11-20,15669.8623046875,15669.8623046875,15471.280856625122,15597.650698822032,1460613
2018-11-21,15669.8623046875,15669.8623046875,15417.12262029368,15453.228423226412,3163171
2018-11-22,15669.8623046875,15742.073910552966,15615.704068356057,15669.8623046875,858354
2018-11-23,15543.494140625,15687.916431812997,15525.441705277282,15561.54657597272,918780
2018-11-26,15326.859375,15543.493267683276,15326.859375,15543.493267683276,1283604
2018-11-27,15435.17578125,15489.334956269622,15344.911737731107,15489.334956269622,907125
2018-11-28,15453.2294921875,15471.281926834969,15362.965446679402,15435.176121404655,680309
2018-11-29,15489.3349609375,15705.967916539841,15489.3349609375,15633.757243384181,1390174
2018-11-30,15489.3349609375,15507.387395192576,15399.070917391406,15489.3349609375,1032201
2018-12-03,16211.447265625,16211.447265625,15597.651396711266,15597.651396711266,3017021
2018-12-04,16229.5009765625,16428.081490087807,16157.289370115848,16211.446670747855,2684641
2018-12-05,16103.130859375,16229.501643920676,16030.919249959004,16048.973556516043,1608601
2018-12-06,16030.9189453125,16175.342161399922,15904.55003543902,16067.025685469698,2347323
2018-12-07,16283.66015625,16373.924206656686,16103.132055436627,16103.132055436627,2026206
2018-12-10,15958.7080078125,16247.554452123924,15958.7080078125,16175.342841046067,1845187
2018-12-11,15904.55078125,16067.026438899637,15850.391604609864,15994.814827469712,1016059
2018-12-12,16048.9716796875,16085.076544037896,15904.548477744913,15904.548477744913,3566711
2018-12-13,16103.130859375,16337.818121909311,16067.025990802362,16229.501643920676,2072404
2018-12-14,15940.6552734375,16175.342536960883,15922.6028390751,16103.130927240556,2145015
2018-12-17,15525.44140625,15922.603401469027,15525.44140625,15922.603401469027,2064623
2018-12-18,15164.3837890625,15453.229292639777,15110.225549684063,15290.753638369099,2988611
2018-12-19,15200.48828125,15381.016354343888,15110.224244703055,15164.382479404165,1408680
2018-12-20,15182.435546875,15308.805390549955,15182.435546875,15272.700523330246,1224502
2018-12-21,15344.912109375,15344.912109375,15128.278212455853,15128.278212455853,1284506
2018-12-24,15164.3837890625,15453.229292639777,15164.3837890625,15381.017682711616,723560
2018-12-25,14983.85546875,14983.85546875,14803.326446720299,14947.749664344059,2195169
2018-12-26,14947.7490234375,15110.224668230172,14947.7490234375,14983.85482629535,1044973
2018-12-27,15092.1708984375,15254.646538920762,15092.1708984375,15200.488304138104,1791742
2018-12-28,15236.5947265625,15236.5947265625,15092.171513079928,15182.435553438872,1438122
2019-01-02,14875.537109375,15218.540825211681,14857.484676387929,15092.17098589631,1431351
2019-01-03,14731.1162109375,14965.80254233338,14695.010405460738,14965.80254233338,2114961
2019-01-04,14839.431640625,14965.8014827792,14622.797759237134,14658.903562157664,1005094
2019-01-07,15092.1708984375,15200.488304138104,15019.960230772385,15092.1708984375,1084480
2019-01-08,15164.3837890625,15164.3837890625,15056.06637417026,15092.172179134339,784969
2019-01-09,15308.8056640625,15381.017272062725,15128.27758019728,15200.489188197504,820495
2019-01-10,15218.5419921875,15362.965211699779,15218.5419921875,15308.806036314993,1417974
2019-01-11,15236.5947265625,15362.964570292088,15182.435553438872,15308.80539716846,1946015
2019-01-14,15344.912109375,15381.017914884089,15164.384017964941,15272.701434492204,1057744
2019-01-15,15453.2294921875,15453.2294921875,15272.701401171304,15272.701401171304,954413
2019-01-16,15362.9658203125,15525.441480632697,15362.9658203125,15525.441480632697,495391
2019-01-17,15164.3837890625,15435.175922090053,15164.3837890625,15344.911877747536,1061382
2019-01-18,15164.3837890625,15344.911877747536,15164.3837890625,15200.489594026581,603076
2019-01-21,15344.912109375,15453.229525902265,15236.595628983117,15236.595628983117,657904
2019-01-22,15290.7529296875,15435.175206714905,15290.7529296875,15344.911166555861,375624
2019-01-23,15290.7529296875,15308.805363265179,15218.541323106136,15272.700496109821,1365819
2019-01-24,15326.859375,15381.01761413698,15290.753570196894,15308.806004530765,622509
2019-01-25,15308.8056640625,15381.017272062725,15272.700796197729,15308.8056640625,566755
2019-01-28,15200.48828125,15344.910552498053,15200.48828125,15344.910552498053,574349
2019-01-29,15344.912109375,15344.912109375,15164.384017964941,15308.806303865913,1143182
2019-01-30,15597.650390625,15669.861995063624,15308.804909005801,15344.910711225113,1829971
2019-01-31,15597.650390625,15669.861995063624,15489.333920102361,15633.756192844312,1373313
2019-02-01,15381.0166015625,15597.650479984175,14983.854647145314,15597.650479984175,1592696
2019-02-11,15940.6552734375,15994.814448795427,15417.123443303533,15525.440857884025,2656128
2019-02-12,15850.390625,16103.130313249148,15850.390625,15886.497364618825,1862657
2019-02-13,16085.0771484375,16247.552788660338,15886.49664250762,15886.49664250762,4448088
2019-02-14,15976.76171875,16211.447105659316,15976.76171875,16121.183063247112,1691171
2019-02-15,15958.7080078125,16048.973925862892,15886.498269005408,15976.762314785037,1718385
2019-02-18,16030.9189453125,16103.130553356212,15922.602469382278,16067.025685469698,813246
2019-02-19,16030.9189453125,16301.712943544086,15994.814077425988,16139.237293513408,3905170
2019-02-20,16193.3955078125,16265.607119925207,15994.814978705646,15994.814978705646,1552653
2019-02-21,16175.341796875,16211.44666394786,15994.813716969418,16139.23692980214,1991104
2019-02-22,16319.765625,16391.977234138903,16030.919188444388,16175.342406722193,3302061
2019-02-25,16428.080078125,16680.819742830456,16410.02764613257,16446.13251011743,17547260
2019-02-26,16319.765625,16464.188843277807,16247.554015861097,16464.188843277807,1760838
2019-02-27,16283.66015625,16410.030950181877,16211.448541470478,16319.76689977519,1289392
2019-02-28,15958.7080078125,16283.65932152747,15958.7080078125,16283.65932152747,3746877
2019-03-01,16103.130859375,16103.130859375,15940.655206256688,16085.07842508868,1621611
2019-03-04,16247.5546875,16319.766299623976,16103.13146325205,16103.13146325205,2221614
2019-03-05,16211.447265625,16319.765615405027,16175.342397212133,16247.55400630858,2188503
2019-03-06,16103.130859375,16283.658946779633,16048.973556516043,16229.501643920676,1845822
2019-03-07,16157.2900390625,16247.554082790279,16103.130863917544,16103.130863917544,993866
2019-03-08,16121.18359375,16175.342769887828,16048.973855260572,16139.237900643113,1840380
2019-03-11,16067.0244140625,16193.393313936223,16048.971981547758,16121.181711606723,1020890
2019-03-12,16789.13671875,16789.13671875,16157.288473864317,16157.288473864317,5126438
2019-03-13,16680.82421875,16861.352331655864,16680.82421875,16789.140712039323,4181315
2019-03-14,16698.873046875,16789.137083821417,16608.609009928587,16680.820613939835,1867729
2019-03-15,16608.609375,16716.92771953309,16518.345336069502,16698.873413930494,2766071
